game_pk,matchup,news_sp_late_scratch_home,news_sp_late_scratch_away,news_anchor_sp_home_id,news_anchor_sp_away_id,news_current_sp_home_id,news_current_sp_away_id,news_ump_plate_id,news_ump_plate_name,news_ump_bias_pp,news_bullpen_short_home,news_bullpen_short_away,news_anchor_home_decimal,news_current_home_decimal,news_line_move_home_bps,news_il_placements_home,news_il_placements_away,news_il_player_names_home,news_il_player_names_away,news_lineup_scratches_home,news_lineup_scratches_away,news_regular_scratches_home,news_regular_scratches_away,news_model_prob_delta,news_tier_demotion_steps,news_rationale,news_rules_fired
822813,PIT @ TOR,False,False,656302,656605,656302,656605,,,0.0,True,False,1.65359477124183,1.65359477124183,0,2,1,"Tommy Nance, Joe Mantiply",Ryan O'Hearn,0,0,0,0,-0.021,0,"home bullpen short -> 1.5pp toward away | home 2 IL placement(s) (Tommy Nance, Joe Mantiply) -> -1.80pp | away 1 IL placement(s) (Ryan O'Hearn) -> +1.20pp",bullpen_short_home;il_placement_home;il_placement_away
824839,DET @ BAL,False,False,687064,664285,687064,664285,,,0.0,False,False,1.8333333333333335,1.8333333333333335,0,0,2,,"Ty Madden, Burch Smith",0,0,0,0,0.018000000000000002,0,"away 2 IL placement(s) (Ty Madden, Burch Smith) -> +1.80pp",il_placement_away
824759,MIN @ BOS,False,False,543243,641927,543243,641927,,,0.0,False,False,1.7092198581560285,1.7092198581560285,0,1,1,Trevor Story,Ryan Jeffers,0,0,0,0,0.0,0,home 1 IL placement(s) (Trevor Story) -> -1.20pp | away 1 IL placement(s) (Ryan Jeffers) -> +1.20pp,il_placement_home;il_placement_away
823459,CLE @ PHI,False,False,691725,800048,691725,800048,,,0.0,False,False,2.2,2.2,0,0,0,,,0,0,0,0,0.0,0,,
823544,TB @ NYY,False,False,677960,656876,677960,656876,,,0.0,False,False,1.8333333333333335,1.8333333333333335,0,1,3,Max Fried,"Jake Fraley, Cole Sulser, Ben Williamson",0,0,0,0,0.012,0,"home 1 IL placement(s) (Max Fried) -> -1.20pp | away 3 IL placement(s) (Jake Fraley, Cole Sulser, Ben Williamson) -> +2.40pp",il_placement_home;il_placement_away
824514,STL @ CIN,False,False,663903,669461,663903,669461,,,0.0,False,False,1.9433962264150944,1.9433962264150944,0,2,1,"Jose Trevino, Ke'Bryan Hayes",Nathan Church,0,0,0,0,-0.006000000000000002,0,"home 2 IL placement(s) (Jose Trevino, Ke'Bryan Hayes) -> -1.80pp | away 1 IL placement(s) (Nathan Church) -> +1.20pp",il_placement_home;il_placement_away
823861,NYM @ MIA,False,False,663969,681035,663969,681035,,,0.0,False,False,2.1100000000000003,2.1100000000000003,0,1,2,Leo Jiménez,"Clay Holmes, A.J. Minter",0,0,0,0,0.006000000000000002,0,"home 1 IL placement(s) (Leo Jiménez) -> -1.20pp | away 2 IL placement(s) (Clay Holmes, A.J. Minter) -> +1.80pp",il_placement_home;il_placement_away
824108,SEA @ KC,False,False,607625,693433,607625,693433,,,0.0,False,False,2.25,2.25,0,2,2,"Matt Strahm, Kris Bubic","Cal Raleigh, Brendan Donovan",0,0,0,0,0.0,0,"home 2 IL placement(s) (Matt Strahm, Kris Bubic) -> -1.80pp | away 2 IL placement(s) (Cal Raleigh, Brendan Donovan) -> +1.80pp",il_placement_home;il_placement_away
823786,LAD @ MIL,False,False,687075,808967,687075,808967,,,0.0,False,False,2.6,2.6,0,0,2,,"Blake Snell, Jack Dreyer",0,0,0,0,0.018000000000000002,0,"away 2 IL placement(s) (Blake Snell, Jack Dreyer) -> +1.80pp",il_placement_away
824676,HOU @ CHC,False,False,684007,663567,684007,663567,,,0.0,False,False,1.65359477124183,1.65359477124183,0,1,2,Matt Shaw,"Jose Altuve, Lance McCullers Jr.",0,0,0,0,0.006000000000000002,0,"home 1 IL placement(s) (Matt Shaw) -> -1.20pp | away 2 IL placement(s) (Jose Altuve, Lance McCullers Jr.) -> +1.80pp",il_placement_home;il_placement_away
823220,CHW @ SF,False,False,592662,702273,592662,702273,,,0.0,False,False,1.9803921568627452,1.9803921568627452,0,2,0,"Heliot Ramos, Jung Hoo Lee",,0,0,0,0,-0.018000000000000002,0,"home 2 IL placement(s) (Heliot Ramos, Jung Hoo Lee) -> -1.80pp",il_placement_home
825081,COL @ ARI,False,False,669194,500779,669194,500779,,,0.0,True,True,1.5747126436781609,1.5747126436781609,0,0,6,,"Jimmy Herget, Chase Dollander, Jordan Beck, Victor Vodnik, Brenton Doyle",0,0,0,0,0.03,0,"home bullpen short -> 1.5pp toward away | away bullpen short -> 1.5pp toward home | away 6 IL placement(s) (Jimmy Herget, Chase Dollander, Jordan Beck, Victor Vodnik, Brenton Doyle) -> +3.00pp",bullpen_short_home;bullpen_short_away;il_placement_away
823297,OAK @ SD,False,False,650633,665622,650633,665622,,,0.0,False,False,1.65359477124183,1.65359477124183,0,1,0,Matt Waldron,,0,0,0,0,-0.012,0,home 1 IL placement(s) (Matt Waldron) -> -1.20pp,il_placement_home
824921,WSH @ ATL,False,False,527048,656492,527048,656492,,,0.0,True,True,1.65359477124183,1.65359477124183,0,2,0,"Kyle Farmer, Drake Baldwin",,0,0,0,0,-0.018000000000000002,0,"home bullpen short -> 1.5pp toward away | away bullpen short -> 1.5pp toward home | home 2 IL placement(s) (Kyle Farmer, Drake Baldwin) -> -1.80pp",bullpen_short_home;bullpen_short_away;il_placement_home
824028,TEX @ LAA,False,False,672282,669022,672282,669022,,,0.0,True,False,1.900900900900901,1.900900900900901,0,2,2,"Ben Joyce, Yoán Moncada","Corey Seager, Carter Baumler",0,0,0,0,-0.015,0,"home bullpen short -> 1.5pp toward away | home 2 IL placement(s) (Ben Joyce, Yoán Moncada) -> -1.80pp | away 2 IL placement(s) (Corey Seager, Carter Baumler) -> +1.80pp",bullpen_short_home;il_placement_home;il_placement_away
